t/s	U/V
27892,542	3,551
27912,556	3,550
27932,569	3,549
27952,583	3,547
27972,597	3,545
27992,611	3,544
28012,624	3,542
28032,638	3,541
28052,652	3,540
28072,666	3,538
28092,679	3,536
28112,693	3,535
28132,707	3,534
28152,721	3,532
28172,734	3,531
28192,748	3,530
28212,762	3,528
28232,775	3,526
28252,789	3,525
28272,803	3,523
28292,817	3,522
28312,830	3,520
28332,844	3,518
28352,858	3,516
28372,872	3,515
28392,885	3,513
28412,899	3,511
28432,913	3,510
28452,927	3,508
28472,940	3,506
28492,954	3,504
28512,968	3,502
28532,982	3,500
28552,995	3,498
28573,009	3,496
28593,023	3,494
28613,037	3,493
28633,050	3,490
28653,064	3,488
28673,078	3,486
28693,092	3,484
28713,105	3,482
28733,119	3,480
28753,133	3,478
28773,147	3,476
28793,160	3,473
28813,174	3,472
28833,188	3,469
28853,202	3,467
28873,215	3,465
28893,229	3,462
28913,243	3,460
28933,256	3,458
28953,270	3,455
28973,284	3,453
28993,298	3,451
29013,311	3,448
29033,325	3,446
29053,339	3,443
29073,353	3,441
29093,366	3,438
29113,380	3,436
29133,394	3,433
29153,408	3,431
29173,421	3,428
29193,435	3,425
29213,449	3,422
29233,463	3,420
29253,476	3,417
29273,490	3,414
29293,504	3,412
29313,518	3,409
29333,531	3,406
29353,545	3,403
29373,559	3,401
29393,573	3,398
29413,586	3,394
29433,600	3,392
29453,614	3,389
29473,628	3,385
29493,641	3,382
29513,655	3,379
29533,669	3,376
29553,682	3,373
29573,696	3,369
29593,710	3,366
29613,724	3,362
29633,737	3,358
29653,751	3,354
29673,765	3,350
29693,779	3,346
29713,792	3,342
29733,806	3,338
29753,820	3,335
29773,834	3,330
29793,847	3,327
29813,861	3,323
29833,875	3,318
29853,889	3,314
29873,902	3,311
29893,916	3,306
29913,930	3,302
29933,944	3,298
29953,957	3,294
29973,971	3,290
29993,985	3,285
30013,998	3,281
30034,012	3,277
30054,026	3,272
30074,040	3,268
30094,053	3,263
30113,974	3,258
30133,987	3,254
30154,001	3,249
30173,906	3,244
30193,920	3,239
30213,684	3,234
30233,479	3,229
30253,493	3,224
30270,496	3,219
30289,355	3,214
30308,464	3,209
30326,949	3,203
30345,013	3,198
30362,968	3,193
30379,940	3,188
30397,036	3,182
30414,039	3,177
30431,245	3,172
30447,843	3,167
30461,726	3,161
30479,228	3,156
30494,890	3,151
30510,583	3,146
30525,870	3,140
30541,235	3,135
30556,117	3,130
30570,998	3,125
30585,739	3,119
30600,512	3,114
30615,128	3,109
30629,526	3,104
30643,878	3,098
30658,354	3,093
30672,580	3,088
30686,042	3,083
30701,111	3,077
30714,511	3,072
30729,080	3,067
30743,338	3,062
30757,440	3,056
30771,230	3,051
30784,754	3,046
30799,043	3,041
30813,113	3,035
30827,121	3,030
30840,880	3,025
